species_sci,sabab
Malus sieversii (Ledeb.) M. Roem,"Yovvoyi olma — O'rta Osiyo uchun alohida tur, madaniy olma ichiga yashirilmasin"
Malus niedzwetzkyana Dieck,"Nedzvetskiy olmasi — Qizil kitob, alohida ko'rinsin"
