lotincha_nom,qoraqalpoqcha_nom,manba,hal_qilingan_nom,qaysi_bosqich
Salsola micranthera Botsch.,аксар,Ережепов 1978,,1-bosqich
Salsola orientalis S. G. Gmel.,"кейреук, куиревик",Ережепов 1978 + Шербаев 1988,,1-bosqich
Salsola paletzkiana Litv.,"черкез, кара черкез",Ережепов 1978 + Шербаев 1988,,1-bosqich
Salsola paulsenii Litv.,туекарын,Ережепов 1978,,1-bosqich
Salsola richteri (Moq.) Kar. et Litv.,черкез,Ережепов 1978 + Шербаев 1988,,1-bosqich
Schoenoplectus littoralis (Schrad.) Palla,донгызоленг,Ережепов 1978,,2-bosqich
Schoenoplectus tabernaemontani (Gmel.) Palla,донгызоленг,Ережепов 1978,,2-bosqich
Schumannia karelinii (Bunge) Eug. Kor.,косик,Ережепов 1978,Ferula karelinii,4-bosqich
Scirpus tabernaemontani C.C.Gmel.,каракога,Шербаев 1988,,1-bosqich
Sclerosiphon songaricum (Schrenk.) Nevski,курткашаш,Ережепов 1978 + Шербаев 1988,Iris songarica,4-bosqich
Scorzonera circumflexa Krasch.,коянтобык,Ережепов 1978,,1-bosqich
Scorzonera gageoides Boiss.,коянтобык,Ережепов 1978,,1-bosqich
Scorzonera pusilla Pall.,коянтобык,Шербаев 1988,,1-bosqich
Scorzonera sericeolanata Krasch. et Lipsch.,коянтобык,Ережепов 1978,,1-bosqich
Secale silvestre Host.,"жабайысулы, жабайы сулы",Ережепов 1978 + Шербаев 1988,,1-bosqich
Senecio noeanus Rupr.,сарыгул,Шербаев 1988,,3-bosqich
Senecio subdentatus Ledeb.,сарыбасшоп,Ережепов 1978,,1-bosqich
Setaria glauca (L.) Beauv.,пшыккуйрык,Ережепов 1978,Cenchrus americanus,
Setaria verticillata (L.) Beauv.,"пшыккуйрык, пышыккуйдык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Setaria viridis (L.) Beauv.,пшыккуйрык,Ережепов 1978,,1-bosqich
Smirnovia turkestana Bunge,партылдаук,Ережепов 1978,,1-bosqich
Smirnowia turkestana Bunge,кумпартылдауык,Шербаев 1988,,1-bosqich
Solanum nigrum L.,итжузим,Ережепов 1978,,1-bosqich
Solanum olgae Pojark.,итжузим,Ережепов 1978,,1-bosqich
Sonchus asper Hill.,шайпашек,Ережепов 1978,,1-bosqich
Sophora lehmannii Bunge,сасыкшоп,Ережепов 1978,,2-bosqich
Sorghum halepense (L.) Pers.,гумай,Ережепов 1978,,1-bosqich
Sorgum bicolor (L.) Moench,"жасымык жууери, найман жууери",Шербаев 1988,,
Sorgum cernuum (Ard.) Host,бои жууери,Шербаев 1988,Sorghum bicolor subsp. bicolor,
Sorgum halepense (L.) Pers.,"гумай, джонсоновая трава кумай",Шербаев 1988,,1-bosqich
Sorgum sudanense (Piper) Stapf,судан оты,Шербаев 1988,,
Sphaerophysa salsula (Pall.) DC.,"партылдаук, партылдауык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Stipa aktauensis Roshev.,аигыржал,Ережепов 1978,,1-bosqich
Stipa arabica Trin et Rupr.,аигыржал,Ережепов 1978,,2-bosqich
Stipa bella Drob.,айтыржал,Ережепов 1978,,
Stipa capillata L.,тырса,Шербаев 1988,,1-bosqich
Stipa hohenackeriana Trin. et Rupr.,айгыржал,Ережепов 1978,,1-bosqich
Stipa korshinskyi Roshev.,айгыржал,Ережепов 1978,,
Stipa spiridonovii Roshev.,айгыржал,Ережепов 1978,,
Stipagrostis karelinii (Trin. et Rupr.) Tzvel.,"нарселеу, селеу, еркек",Ережепов 1978 + Шербаев 1988,,2-bosqich
Stipagrostis pennata Winter Trin,"ургашыселеу, ургашы селеу, ак селеу",Ережепов 1978 + Шербаев 1988,,2-bosqich
Stipagrostis plumosa (L.) Munro ex T.Anders.,майда селеу,Шербаев 1988,,2-bosqich
Strigosella africana (L.) Botsch.,шытыр,Шербаев 1988,,1-bosqich
Suaeda altissima (L.) Pall.,карасора,Ережепов 1978,,1-bosqich
Suaeda linifolia Pall.,карасора,Ережепов 1978,,1-bosqich
Suaeda paradoxa (Bunge),карасора,Ережепов 1978,,1-bosqich
Suaeda prostrata Pall.,сора,Ережепов 1978,,1-bosqich
Tamarix androssovii Litv.,жингыл,Ережепов 1978,,1-bosqich
Tamarix bungei Boiss.,жингыл,Ережепов 1978,,1-bosqich
Tamarix elongata Ledeb.,"жингыл, ерманы жынгыл",Ережепов 1978 + Шербаев 1988,,1-bosqich
Tamarix florida Bunge,жингыл,Ережепов 1978,,1-bosqich
Tamarix hispida Willd.,"ерманыжингыл, ак жынгыл",Ережепов 1978 + Шербаев 1988,,1-bosqich
Tamarix hohenackeri Bunge,жингыл,Ережепов 1978,,1-bosqich
Tamarix laxa Willd.,"жингыл, тышкак жынгыл",Ережепов 1978 + Шербаев 1988,,1-bosqich
Tamarix leptostachys Bunge,жингыл,Ережепов 1978,,1-bosqich
Tamarix litvinovii Gorschk.,жингыл,Ережепов 1978,,1-bosqich
Tamarix ramosissima Ledeb.,"кзылжингыл, урпекоас жынгыл",Ережепов 1978 + Шербаев 1988,,1-bosqich
Tamarix smirnensis Bunge,жынгыл,Шербаев 1988,,
Torularia torulosa (Desf.) O. E. Schulz,штыр,Ережепов 1978,Neotorularia torulosa,4-bosqich
Tournefortia sibirica L.,тасбакажуери,Ережепов 1978,Heliotropium sibiricum,4-bosqich
Trachomitum venetum (L.) Woodson var. scabrum (Beg. et Bell.),кзылкендир,Ережепов 1978,Apocynum venetum,4-bosqich
Tribulus terrestris L.,"темирткен, темиртикен",Ережепов 1978 + Шербаев 1988,,1-bosqich
Trifolium repens L.,"жабайыжонгыршка, акбасхонгыршка",Ережепов 1978,,1-bosqich
Trigonotis peduncularis (Trev.) Benth. ex Baker et S. Moore,таспа шоп,Шербаев 1988,,1-bosqich
Triticum aestivum L.,жазлык бийдай,Шербаев 1988,,
Triticum durum Desf.,катты бийдай,Шербаев 1988,,1-bosqich
Tulipa bifloriformis Vved.,жабайылала,Ережепов 1978,,1-bosqich
Tulipa buhseana Boiss.,жабайылала,Ережепов 1978,,1-bosqich
Tulipa lehmanniana Merckl.,жабайылала,Ережепов 1978,,1-bosqich
Tulipa sogdiana Bunge,жабайылала,Ережепов 1978,,1-bosqich
Typha foveolata Pobed.,"жекен, кога",Ережепов 1978,Typha angustifolia,4-bosqich
Typha grossheimii Pobed.,"жекен, кога",Ережепов 1978,,
Typha laxmannii Lepech.,"жекен, кога",Ережепов 1978,,1-bosqich
Typha pallida Pobed.,"жекен, кога",Ережепов 1978,Typha minima,4-bosqich
Ulmus pumila L.,караагаш,Шербаев 1988,,1-bosqich
Xanthium strumarium L.,ошаган,Ережепов 1978 + Шербаев 1988,,1-bosqich
Ziziphora tenuior L.,"киикоты, кийикоты",Ережепов 1978 + Шербаев 1988,,1-bosqich
Zygophyllum fabago L. var. oxianum (Boriss.) Kitam.,"палаты, туйетабан",Ережепов 1978,,
"Zygophyllum macrophyllum Rgl., et Schmalh.","палаты, туйетабан",Ережепов 1978,,1-bosqich
Zygophyllum miniatum Cham. et Schleht.,"палаты, туйетабан",Ережепов 1978,,1-bosqich
Zygophyllum pinnatum Cham.,"палаты, туйетабан",Ережепов 1978,,1-bosqich
Zygophyllum turkomanicum Fisch. et Mey.,"палаты, туйетабан",Ережепов 1978,,1-bosqich
