lotincha_nom,qoraqalpoqcha_nom,manba,hal_qilingan_nom,qaysi_bosqich
Calligonum arborescens Litv.,"акжузгун, аккандым",Ережепов 1978,,1-bosqich
Calligonum borszczowii Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum caputi-medusae Schrenk,"кзылжузгун, кзылкандым",Ережепов 1978,,1-bosqich
Calligonum colubrinum Borszcz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum densum Borszcz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum dubjanskyi Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum erinaceum Borszcz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum eriopodum Bunge.,жузгун,Ережепов 1978,,1-bosqich
Calligonum junceum (Fisch. et Mey.) Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum leucocladum (Schrenk.) Bunge,акжузгун,Ережепов 1978,,1-bosqich
Calligonum litvinovii Drob.,жузгун,Ережепов 1978,,1-bosqich
Calligonum macrocarpum Borszcz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum membranaceum Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum minimum Lipsky,жузгун,Ережепов 1978,Calligonum microcarpum,4-bosqich
Calligonum murex Bunge,жузгун,Ережепов 1978,,1-bosqich
Calligonum patens Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum platyacanthum Borszcz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum rigidum Litv.,жузгун,Ережепов 1978,,1-bosqich
Calligonum rotula Borscz.,жузгун,Ережепов 1978,,1-bosqich
Calligonum rubescens Mattei,жузгун,Ережепов 1978,,1-bosqich
Calligonum squarrosum Pavl.,жузгун,Ережепов 1978,,1-bosqich
Calligonum tetrapterum Jaub. et Spach.,жузгун,Ережепов 1978,,1-bosqich
Calligonum triste Litv.,жузгун,Ережепов 1978,,
Calligonum undulatum Litv.,жузгун,Ережепов 1978,,1-bosqich
Cannabis ruderalis Janisch.,"жабайыкендир, жабайы кендир",Ережепов 1978 + Шербаев 1988,Cannabis sativa,4-bosqich
Cannabis sativa L.,егис кендири,Шербаев 1988,,1-bosqich
Capparis herbacea Willd.,геуил,Шербаев 1988,Capparis spinosa var. herbacea,4-bosqich
Capparis ovata Desf.,геул,Ережепов 1978,Capparis spinosa var. ovata,4-bosqich
Capparis rosanoviana B. Fedtsch.,геул,Ережепов 1978,,1-bosqich
Capsella bursa-pastoris (L.) Medik.,шопандорба,Ережепов 1978,,1-bosqich
Carex pachystylis J. Gay.,ранг,Ережепов 1978,,1-bosqich
Carex physodes Bieb.,ранг,Ережепов 1978,,1-bosqich
Celosia cristata L.,тэжикоразгул,Шербаев 1988,Celosia argentea,4-bosqich
Centaurea squarrosa Willd.,кекре,Ережепов 1978,,1-bosqich
Ceratocarpus arenarius L.,ебелек,Ережепов 1978,,1-bosqich
Ceratocarpus utriculosus Bluk.,ебелек,Ережепов 1978,,1-bosqich
Ceratocephala falcata (L.) Pers.,штыр,Ережепов 1978,,1-bosqich
Ceratocephala testiculata (Crantz) Roth,штыр,Ережепов 1978,,1-bosqich
Ceratoides eversmanniana Stschegl ex Losinsk.,терескен,Ережепов 1978,,1-bosqich
Ceratoides fruticulosa Pazij,терескен,Ережепов 1978,Krascheninnikovia fruticulosa,
Ceratophyllum demersum L.,шаланг,Ережепов 1978,,1-bosqich
Ceratophyllum submersum L.,шаланг,Ережепов 1978,,1-bosqich
Chenopodium album L.,"аксора, ак сора",Ережепов 1978 + Шербаев 1988,,1-bosqich
Chenopodium filicifolium Smith,сора,Ережепов 1978,,1-bosqich
Chenopodium glaucum L.,сора,Ережепов 1978,,1-bosqich
Chenopodium murale L.,сора,Ережепов 1978,,1-bosqich
Chenopodium rubrum L.,кзылсора,Ережепов 1978,,1-bosqich
Chenopodium strictum Roth.,сора,Ережепов 1978,Chenopodium album var. album,4-bosqich
Chorispora tenella (Pall.) DC.,шытыр,Ережепов 1978,,1-bosqich
Cichorium intybus L.,шашраткы,Ережепов 1978,,1-bosqich
Cirsium ochrolepideum Juz.,калуен,Ережепов 1978,,1-bosqich
Clematis orientalis L.,тунесингир,Ережепов 1978,,1-bosqich
Climacoptera affinis (C. A. Mey) Betsch.,коянжун,Ережепов 1978,Pyankovia affinis,4-bosqich
Climacoptera brachiata (Pall.) Botsch.,"торгайот, торгай оты",Ережепов 1978 + Шербаев 1988,,1-bosqich
Climacoptera ferganica (Drob.) Botsch.,балыккоз,Ережепов 1978,,1-bosqich
Climacoptera lanata (Pall.) Botsch.,балыккоз,Ережепов 1978 + Шербаев 1988,,1-bosqich
Climacoptera transoxana Botsch.,балыккоз,Ережепов 1978,,1-bosqich
Climacoptera turcomanica (Litv.) Botsch.,балыккоз,Ережепов 1978,,1-bosqich
Convolvulus arvensis L.,"пашек, койпашек",Ережепов 1978,,1-bosqich
Convolvulus fruticosus Pall.,кусконбас,Ережепов 1978 + Шербаев 1988,,1-bosqich
Convolvulus hamadae (Vved.) V. Petr.,партек,Ережепов 1978 + Шербаев 1988,,1-bosqich
Corispermum lehmannianum Bunge,кумтары,Шербаев 1988,,1-bosqich
Crambe kotschyana Boiss.,катран,Ережепов 1978,,1-bosqich
Cryptodiscus ammophilus Bunge,аклыкара,Ережепов 1978,Prangos ammophila,4-bosqich
Cucurbita maxima Duch.,карааскабак,Шербаев 1988,,
Cucurbita moschata (Duch.) Poir.,палаукабак,Шербаев 1988,,
Cucurbita pepo L.,аскабак,Шербаев 1988,,
Cucurbita turbaniformis (M.Roem.) Vass.,сэлле кабак,Шербаев 1988,Cucurbita maxima,
Cuscuta breviflora Vis.,"сарышоп, мерезшоп",Ережепов 1978,Cuscuta australis var. tineoi,4-bosqich
Cuscuta campestris Yunck.,"сарышоп, мерезшоп",Ережепов 1978,,1-bosqich
Cuscuta chinensis Lam.,"сарышоп, мерезшоп",Ережепов 1978,,1-bosqich
Cuscuta lehmanniana Bunge,"жоргемис, сарышоп",Ережепов 1978,,1-bosqich
Cuscuta monogyna Vahl.,"жоргемис, сарышоп",Ережепов 1978,,1-bosqich
Cuscuta pedicellata Ledeb.,"сарышоп, мерезшоп",Ережепов 1978,,1-bosqich
Cuscuta pellucida Butk.,сарышоп,Ережепов 1978,,1-bosqich
Cuscuta stapfiana Palib.,сарышоп,Ережепов 1978,Cuscuta kotschyana var. kotschyana,4-bosqich
Cynanchum acutum L. ssp. sibiricum Willd.,"сутлемек, сутлимек, атшокай",Ережепов 1978 + Шербаев 1988,,2-bosqich
Cynodon dactylon (L.) Pers.,кара-ажрык,Ережепов 1978,,1-bosqich
Cyperus glomeratus L.,жекен,Ережепов 1978,,
Cyperus rotundus L.,"атшокай, донгызоленг",Ережепов 1978,,1-bosqich
Datura stramonium L.,"бангидуана, бандууана",Ережепов 1978 + Шербаев 1988,,1-bosqich
Daucus carota L.,жабайы гешир,Шербаев 1988,,1-bosqich
Daucus sativis (Hoffm.) Rochl.,егис гешир,Шербаев 1988,Daucus carota subsp. sativus,4-bosqich
Delphinium camptocarpum Fisch. et Mey. ex Ledeb.,кутантумсык,Ережепов 1978,,1-bosqich
Delphinium inopinatum Nevski,кутантумсык,Ережепов 1978,,
Delphinium songoricum Nevski,кутантумсык,Ережепов 1978,Delphinium camptocarpum,4-bosqich
Dendrostellera arenaria Pobed.,усихо,Ережепов 1978,,1-bosqich
Dendrostellera macrorhachis Pobed.,усихо,Ережепов 1978,,1-bosqich
Descurainia sophia (L.) Webb ex Prantl,сыйркуйрык,Ережепов 1978,,1-bosqich
Dodartia orientalis L.,текесакал,Ережепов 1978 + Шербаев 1988,,1-bosqich
Echinochloa crus-galli (L.) Beauv.,сушигин,Ережепов 1978,,1-bosqich
Elaeagnus orientalis L.,жийде,Шербаев 1988,,1-bosqich
Elaeagnus oxycarpa Schlecht.,жигилдик,Шербаев 1988,,1-bosqich
Elaeagnus turkomanica N. Kozl.,жгилдик,Ережепов 1978,,1-bosqich
Elytrigia repens (L.) Nevski,бидаык,Ережепов 1978,Elymus repens,4-bosqich
Eminium lehmannii (Bunge) O. Kuntze,кушала,Ережепов 1978 + Шербаев 1988,,1-bosqich
Ephedra distachya L.,кзылша,Ережепов 1978,,1-bosqich
Ephedra equisetina Bunge,кзылша,Ережепов 1978,,1-bosqich
Ephedra lomatolepis Schrenk.,кзылша,Ережепов 1978,,1-bosqich
Ephedra przewalskii Stapf,"кзылша, кызылша",Ережепов 1978 + Шербаев 1988,,1-bosqich
Ephedra strobilaceae Bunge,кзылша,Ережепов 1978,,1-bosqich
Equisetum ramosissimum Desf.,кыркбуын,Ережепов 1978,,1-bosqich
Eremopyrum bonaepartis (Spreng.) Neski,арпахан,Шербаев 1988,,1-bosqich
Eremopyrum buonapartis (Spreng.) Nevski,"мортык, арпахан",Ережепов 1978,,1-bosqich
Eremopyrum distans (C. Koch) Nevski,арпахан,Ережепов 1978 + Шербаев 1988,,1-bosqich
Eremopyrum orientale (L.) Jaub. et Spach,"мортык, арпахан",Ережепов 1978 + Шербаев 1988,,1-bosqich
Eremopyrum triticeum (Gaertn.) Nevski,"мортык, арпахан",Ережепов 1978 + Шербаев 1988,,1-bosqich
Eremosparton aphyllum (Pall.) Fosch. et Mey.,"сыйркуйрык, сыпыргы, кустумсык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Eremosparton laccidum Litv.,"сыйркуйрык, сыпыргы",Ережепов 1978,,1-bosqich
Erianthus ravennae (L.) Beauv.,мыска,Ережепов 1978,,1-bosqich
Erigeron canadensis L.,курай (сыйркуйрык),Ережепов 1978,,2-bosqich
Erodium litwinowii Woronow,Лайлек тумсык,Шербаев 1988,,1-bosqich
Eruca sativa Mill.,иллеу,Ережепов 1978,,1-bosqich
Euclidium syriacum (L.) R. Br.,"шытыр, каргатырнак",Ережепов 1978,,1-bosqich
Euphorbia densa Schrenk,козыкулак,Ережепов 1978 + Шербаев 1988,,1-bosqich
Euphorbia inderiensis Less.,козыкулак,Ережепов 1978,,1-bosqich
Euphorbia turczaninowii Kar. et Kir.,козыкулак,Ережепов 1978,,1-bosqich
Fedtschenkoa africana (L.) Dvorak,штыр,Ережепов 1978,Strigosella africana,4-bosqich
Ferula assa-foetida L.,геурек,Ережепов 1978,,
Ferula dubjanskyi Kor.,жаужамыр,Ережепов 1978,,1-bosqich
Ferula schair Borszcz.,шаир,Ережепов 1978,Ferula varia,4-bosqich
Ferula varia (Schrenk) Trautv.,шайыр,Шербаев 1988,,1-bosqich
Ficus carica L.,хадимги анжир,Шербаев 1988,,1-bosqich
Fragaria moschata Duch.,кулупнай,Шербаев 1988,,
Frankenia hirsuta L.,кийик шоп,Шербаев 1988,,1-bosqich
Gamanthus gamocarpus (Moq.) Bunge,данашур,Ережепов 1978,,1-bosqich
Girgensohnia oppositiflora (Pall.) Fenzl,бозанг,Ережепов 1978,,1-bosqich
Glycyrrhiza glabra L.,боян,Ережепов 1978 + Шербаев 1988,,1-bosqich
Glycyrrhiza zaissanica Serg.,боян,Ережепов 1978,,
Goebelia alopecuroides (L.) Bunge,сасыкбоян,Ережепов 1978,Sophora alopecuroides,4-bosqich
Gypsophila perfoliata L.,"кангбак, канбак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Halimocnemis karelinii Moq.,"бзаубас, балкангбак",Ережепов 1978,,1-bosqich
Halimocnemis latifolia Iljin.,бзаубас,Ережепов 1978,,1-bosqich
Halimocnemis longifolia Bunge,бзаубас,Ережепов 1978,,1-bosqich
Halimocnemis sclerosperma (Pall.) C. A. Mey.,"ебелек, кангбак",Ережепов 1978,,1-bosqich
Halimocnemis villosa Kar. et Kir.,"ебелек, кангбак",Ережепов 1978,,1-bosqich
