species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Galium irinae Pachom.,Galium irinae Pachom.,Accepted,Galium irinae,Pachom.,Rubiaceae,Galium,Species,934241-1,exact_full
Galium karakulense Pobed.,Galium karakulense Pobed.,Accepted,Galium karakulense,Pobed.,Rubiaceae,Galium,Species,750103-1,exact_full
Galium nupercreatum Popov,Galium nupercreatum Popov,Accepted,Galium nupercreatum,Popov,Rubiaceae,Galium,Species,77068698-1,exact_full
Galium pamiroalaicum Pobed.,Galium pamiroalaicum Pobed.,Accepted,Galium pamiroalaicum,Pobed.,Rubiaceae,Galium,Species,750371-1,exact_full
Galium ruthenicum Willd.,Galium ruthenicum Willd.,Synonym,Galium verum subsp. verum,"",Rubiaceae,Galium,Subspecies,77168479-1,exact_full
Galium songaricum Schrenk,Galium songaricum Schrenk ex Fisch. & C.A.Mey.,Accepted,Galium songaricum,Schrenk ex Fisch. & C.A.Mey.,Rubiaceae,Galium,Species,750650-1,exact_name_unique
Galium spurium L.,Galium spurium L.,Accepted,Galium spurium,L.,Rubiaceae,Galium,Species,750665-1,name_multi_author_ok
Galium tenuissimum M. Bieb.,Galium tenuissimum M.Bieb.,Accepted,Galium tenuissimum,M.Bieb.,Rubiaceae,Galium,Species,750728-1,exact_full
Galium tianschanicum Popov,Galium tianschanicum Popov,Accepted,Galium tianschanicum,Popov,Rubiaceae,Galium,Species,750743-1,exact_full
Galium trichophorum Kar. & Kir.,Galium trichophorum Kar. & Kir.,Synonym,Galium tenuissimum f. trichophorum,(Kar. & Kir.) Ehrend. & Schönb.-Tem.,Rubiaceae,Galium,Form,77067772-1,exact_full
Galium tricornutum Dandy,Galium tricornutum Dandy,Accepted,Galium tricornutum,Dandy,Rubiaceae,Galium,Species,107226-2,exact_full
Galium turkestanicum Pobed.,Galium turkestanicum Pobed.,Accepted,Galium turkestanicum,Pobed.,Rubiaceae,Galium,Species,750785-1,exact_full
Galium uliginosum L.,Galium uliginosum L.,Accepted,Galium uliginosum,L.,Rubiaceae,Galium,Species,750789-1,name_multi_author_ok
Galium vassilczenkoi Pobed.,Galium vassilczenkoi Pobed.,Accepted,Galium vassilczenkoi,Pobed.,Rubiaceae,Galium,Species,750817-1,exact_full
Galium verticellatum Danthoine ex Lam.,Galium verticillatum Danthoine ex Lam.,Accepted,Galium verticillatum,Danthoine ex Lam.,Rubiaceae,Galium,Species,750827-1,manual_alias
Galium verum L.,Galium verum L.,Accepted,Galium verum,L.,Rubiaceae,Galium,Species,750829-1,exact_full
Gamanthus commixtus Bunge,Gamanthus commixtus Bunge,Synonym,Halimocnemis commixtus,(Bunge) Akhani,Amaranthaceae,Halimocnemis,Species,77089191-1,exact_full
Gamanthus ferganicus Iljin,Gamanthus ferganicus Iljin,Synonym,Halimocnemis ferganica,(Iljin) Akhani ex Sennikov,Amaranthaceae,Halimocnemis,Species,77331127-1,exact_full
Gamanthus gamocarpus (Moq.) Bunge,Gamanthus gamocarpus (Moq.) Bunge,Synonym,Halimocnemis gamocarpa,Moq.,Amaranthaceae,Halimocnemis,Species,2838299-4,exact_full
Garhadiolus angulosus Jaub. & Spach,Garhadiolus angulosus Jaub. & Spach,Synonym,Garhadiolus hedypnois,Jaub. & Spach,Asteraceae,Garhadiolus,Species,208640-1,exact_full
Garhadiolus papposus Boiss. & Buhse,Garhadiolus papposus Boiss. & Buhse,Accepted,Garhadiolus papposus,Boiss. & Buhse,Asteraceae,Garhadiolus,Species,208642-1,exact_full
Gastrocotyle hispida (Forssk.) Bunge,Gastrocotyle hispida (Forssk.) Bunge,Accepted,Gastrocotyle hispida,(Forssk.) Bunge,Boraginaceae,Gastrocotyle,Species,941604-1,exact_full
