lotincha_nom,qoraqalpoqcha_nom,manba
Calligonum triste Litv.,жузгун,Ережепов 1978
Calligonum undulatum Litv.,жузгун,Ережепов 1978
Cannabis ruderalis Janisch.,"жабайыкендир, жабайы кендир",Ережепов 1978 + Шербаев 1988
Cannabis sativa L.,егис кендири,Шербаев 1988
Capparis herbacea Willd.,геуил,Шербаев 1988
Capparis ovata Desf.,геул,Ережепов 1978
Capparis rosanoviana B. Fedtsch.,геул,Ережепов 1978
Capsella bursa-pastoris (L.) Medik.,шопандорба,Ережепов 1978
Carex pachystylis J. Gay.,ранг,Ережепов 1978
Carex physodes Bieb.,ранг,Ережепов 1978
Celosia cristata L.,тэжикоразгул,Шербаев 1988
Centaurea squarrosa Willd.,кекре,Ережепов 1978
Ceratocarpus arenarius L.,ебелек,Ережепов 1978
Ceratocarpus utriculosus Bluk.,ебелек,Ережепов 1978
Ceratocephala falcata (L.) Pers.,штыр,Ережепов 1978
Ceratocephala testiculata (Crantz) Roth,штыр,Ережепов 1978
Ceratoides eversmanniana Stschegl ex Losinsk.,терескен,Ережепов 1978
Ceratoides fruticulosa Pazij,терескен,Ережепов 1978
Ceratophyllum demersum L.,шаланг,Ережепов 1978
Ceratophyllum submersum L.,шаланг,Ережепов 1978
Chenopodium album L.,"аксора, ак сора",Ережепов 1978 + Шербаев 1988
Chenopodium filicifolium Smith,сора,Ережепов 1978
Chenopodium glaucum L.,сора,Ережепов 1978
Chenopodium murale L.,сора,Ережепов 1978
Chenopodium rubrum L.,кзылсора,Ережепов 1978
Chenopodium strictum Roth.,сора,Ережепов 1978
Chorispora tenella (Pall.) DC.,шытыр,Ережепов 1978
Cichorium intybus L.,шашраткы,Ережепов 1978
Cirsium ochrolepideum Juz.,калуен,Ережепов 1978
Clematis orientalis L.,тунесингир,Ережепов 1978
Climacoptera affinis (C. A. Mey) Betsch.,коянжун,Ережепов 1978
Climacoptera brachiata (Pall.) Botsch.,"торгайот, торгай оты",Ережепов 1978 + Шербаев 1988
Climacoptera ferganica (Drob.) Botsch.,балыккоз,Ережепов 1978
Climacoptera lanata (Pall.) Botsch.,балыккоз,Ережепов 1978 + Шербаев 1988
Climacoptera transoxana Botsch.,балыккоз,Ережепов 1978
Climacoptera turcomanica (Litv.) Botsch.,балыккоз,Ережепов 1978
Convolvulus arvensis L.,"пашек, койпашек",Ережепов 1978
Convolvulus fruticosus Pall.,кусконбас,Ережепов 1978 + Шербаев 1988
Convolvulus hamadae (Vved.) V. Petr.,партек,Ережепов 1978 + Шербаев 1988
Corispermum lehmannianum Bunge,кумтары,Шербаев 1988
Crambe kotschyana Boiss.,катран,Ережепов 1978
Cryptodiscus ammophilus Bunge,аклыкара,Ережепов 1978
Cucurbita maxima Duch.,карааскабак,Шербаев 1988
Cucurbita moschata (Duch.) Poir.,палаукабак,Шербаев 1988
Cucurbita pepo L.,аскабак,Шербаев 1988
Cucurbita turbaniformis (M.Roem.) Vass.,сэлле кабак,Шербаев 1988
Cuscuta breviflora Vis.,"сарышоп, мерезшоп",Ережепов 1978
Cuscuta campestris Yunck.,"сарышоп, мерезшоп",Ережепов 1978
Cuscuta chinensis Lam.,"сарышоп, мерезшоп",Ережепов 1978
Cuscuta lehmanniana Bunge,"жоргемис, сарышоп",Ережепов 1978
Cuscuta monogyna Vahl.,"жоргемис, сарышоп",Ережепов 1978
Cuscuta pedicellata Ledeb.,"сарышоп, мерезшоп",Ережепов 1978
Cuscuta pellucida Butk.,сарышоп,Ережепов 1978
Cuscuta stapfiana Palib.,сарышоп,Ережепов 1978
Cynanchum acutum L. ssp. sibiricum Willd.,"сутлемек, сутлимек, атшокай",Ережепов 1978 + Шербаев 1988
Cynodon dactylon (L.) Pers.,кара-ажрык,Ережепов 1978
Cyperus glomeratus L.,жекен,Ережепов 1978
Cyperus rotundus L.,"атшокай, донгызоленг",Ережепов 1978
Datura stramonium L.,"бангидуана, бандууана",Ережепов 1978 + Шербаев 1988
Daucus carota L.,жабайы гешир,Шербаев 1988
Daucus sativis (Hoffm.) Rochl.,егис гешир,Шербаев 1988
Delphinium camptocarpum Fisch. et Mey. ex Ledeb.,кутантумсык,Ережепов 1978
Delphinium inopinatum Nevski,кутантумсык,Ережепов 1978
Delphinium songoricum Nevski,кутантумсык,Ережепов 1978
Dendrostellera arenaria Pobed.,усихо,Ережепов 1978
Dendrostellera macrorhachis Pobed.,усихо,Ережепов 1978
Descurainia sophia (L.) Webb ex Prantl,сыйркуйрык,Ережепов 1978
Dodartia orientalis L.,текесакал,Ережепов 1978 + Шербаев 1988
